"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.329977170E-1,1.395000052E-2,-1.150500029E-1,9.868050575E0,9.868731087E0
4.355082560E-1,3.105000220E-2,-8.100000024E-2,9.877950668E0,9.878331565E0
4.380217170E-1,2.205000073E-2,-1.009500027E-1,9.829950333E0,9.830493408E0
4.405297280E-1,-1.095000096E-2,-8.595000207E-2,9.838950157E0,9.839331659E0
4.430402650E-1,-1.050000079E-3,-7.905000448E-2,9.895050049E0,9.895365859E0
4.455509570E-1,2.895000204E-2,-7.905000448E-2,9.873000145E0,9.873359047E0
4.480642650E-1,4.305000231E-2,-1.009500027E-1,9.823050499E0,9.823663538E0
4.505721900E-1,3.795000166E-2,-9.600000083E-2,9.873000145E0,9.873539794E0
4.530827260E-1,2.205000073E-2,-9.795000404E-2,9.865950584E0,9.866461440E0
4.555934180E-1,1.695000008E-2,-7.695000619E-2,9.859050751E0,9.859365614E0
4.581066490E-1,2.400000021E-2,-1.120500043E-1,9.850950241E0,9.851616713E0
4.606146850E-1,1.905000024E-2,-9.300000221E-2,9.849000931E0,9.849458424E0
4.631251450E-1,4.950000439E-3,-8.100000024E-2,9.904050827E0,9.904383287E0
4.656356830E-1,4.305000231E-2,-9.105000645E-2,9.868050575E0,9.868564514E0
4.681491450E-1,3.405000269E-2,-9.600000083E-2,9.820050240E0,9.820578502E0
4.706569160E-1,3.600000218E-2,-1.009500027E-1,9.793950081E0,9.794536492E0
4.731676830E-1,7.395000011E-2,-6.000000238E-2,9.841950417E0,9.842411117E0
4.756783760E-1,2.895000204E-2,-7.905000448E-2,9.874950409E0,9.875309240E0
4.781916830E-1,4.950000439E-3,-1.050000042E-1,9.801000595E0,9.801564272E0
4.806996080E-1,1.695000008E-2,-6.195000187E-2,9.801000595E0,9.801211036E0
4.832100680E-1,2.205000073E-2,-9.300000221E-2,9.820050240E0,9.820515359E0
4.857208370E-1,1.395000052E-2,-9.795000404E-2,9.853950500E0,9.854447182E0
4.882340680E-1,7.050000131E-3,-3.795000166E-2,9.832050323E0,9.832126091E0
4.907420790E-1,2.400000021E-2,-4.500000179E-2,9.832050323E0,9.832182594E0
4.932525380E-1,2.400000021E-2,-5.700000376E-2,9.886950493E0,9.887143928E0
4.957633080E-1,2.205000073E-2,-6.195000187E-2,9.880050659E0,9.880269482E0
4.982765380E-1,7.050000131E-3,-8.400000632E-2,9.823050499E0,9.823412177E0
5.007845400E-1,1.395000052E-2,-5.505000427E-2,9.817950249E0,9.818114493E0
5.032950770E-1,0.000000000E0,-6.495000422E-2,9.844050407E0,9.844264672E0
5.058057690E-1,-1.605000161E-2,-1.009500027E-1,9.838950157E0,9.839481119E0
5.083190770E-1,2.205000073E-2,-7.395000011E-2,9.847050667E0,9.847353027E0
5.108267800E-1,0.000000000E0,-7.200000435E-2,9.861000061E0,9.861262911E0
5.133375470E-1,-1.050000079E-3,-7.695000619E-2,9.883050919E0,9.883350538E0
5.158482400E-1,7.050000131E-3,-9.795000404E-2,9.832050323E0,9.832540743E0
5.183615470E-1,-4.050000105E-3,-1.030500084E-1,9.796050072E0,9.796592914E0
5.208692370E-1,3.000000026E-3,-1.150500029E-1,9.813000679E0,9.813675551E0
5.233799270E-1,-6.000000052E-3,-9.300000221E-2,9.844050407E0,9.844491527E0
5.258904660E-1,2.205000073E-2,-6.900000572E-2,9.847050667E0,9.847317098E0
5.284039270E-1,2.400000021E-2,-7.905000448E-2,9.816000938E0,9.816348574E0
5.309119390E-1,1.395000052E-2,-1.009500027E-1,9.820050240E0,9.820579016E0
5.334224760E-1,3.405000269E-2,-8.595000207E-2,9.861000061E0,9.861433416E0
5.359331680E-1,3.405000269E-2,-8.595000207E-2,9.841950417E0,9.842384610E0
5.384464760E-1,2.400000021E-2,-6.495000422E-2,9.850950241E0,9.851193590E0
5.409543960E-1,-7.950000465E-3,-1.099500060E-1,9.861000061E0,9.861616217E0
